exec_time,n_threads,matrix_size,optimization
0.009185,1,256,opt1_loop
0.069904,1,512,opt1_loop
0.570783,1,1024,opt1_loop
5.821730,1,2048,opt1_loop
20.503910,1,3072,opt1_loop
49.366755,1,4096,opt1_loop
0.004860,2,256,opt1_loop
0.036171,2,512,opt1_loop
0.282818,2,1024,opt1_loop
2.857008,2,2048,opt1_loop
10.253863,2,3072,opt1_loop
25.162564,2,4096,opt1_loop
0.007866,4,256,opt1_loop
0.021011,4,512,opt1_loop
0.156853,4,1024,opt1_loop
1.495478,4,2048,opt1_loop
4.972686,4,3072,opt1_loop
12.335151,4,4096,opt1_loop
0.004032,8,256,opt1_loop
0.018759,8,512,opt1_loop
0.092510,8,1024,opt1_loop
0.813947,8,2048,opt1_loop
3.035489,8,3072,opt1_loop
7.119727,8,4096,opt1_loop
0.010761,16,256,opt1_loop
0.011891,16,512,opt1_loop
0.074106,16,1024,opt1_loop
0.561383,16,2048,opt1_loop
1.994551,16,3072,opt1_loop
5.065243,16,4096,opt1_loop
0.006483,24,256,opt1_loop
0.017211,24,512,opt1_loop
0.056788,24,1024,opt1_loop
0.449723,24,2048,opt1_loop
1.454913,24,3072,opt1_loop
3.837909,24,4096,opt1_loop
0.025663,1,256,none
0.216338,1,512,none
2.132804,1,1024,none
28.525816,1,2048,none
181.044037,1,3072,none
377.350750,1,4096,none
0.012756,2,256,none
0.109450,2,512,none
1.065410,2,1024,none
26.108697,2,2048,none
68.415325,2,3072,none
199.063579,2,4096,none
0.006467,4,256,none
0.054938,4,512,none
0.527466,4,1024,none
6.703876,4,2048,none
25.078537,4,3072,none
85.092227,4,4096,none
0.012333,8,256,none
0.031973,8,512,none
0.303097,8,1024,none
3.047797,8,2048,none
12.844225,8,3072,none
39.121916,8,4096,none
0.011657,16,256,none
0.032212,16,512,none
0.217185,16,1024,none
4.731604,16,2048,none
10.502325,16,3072,none
39.649524,16,4096,none
0.016491,24,256,none
0.025258,24,512,none
0.167174,24,1024,none
1.949311,24,2048,none
9.690237,24,3072,none
47.471303,24,4096,none
